symbol,timestamp,open,high,low,close,volume,vwap
XBTUSD,2017-12-09T23:00:00.000Z,15024.0,15024.5,14892.0,14983.5,6632432,14965.5792
XBTUSD,2017-12-09T23:05:00.000Z,14983.5,15040.0,14900.0,14936.0,5145272,14970.0599
XBTUSD,2017-12-09T23:10:00.000Z,14936.0,14985.5,14850.5,14975.5,6572032,14907.573
XBTUSD,2017-12-09T23:15:00.000Z,14975.5,14975.5,14800.0,14809.5,5062198,14869.8885
XBTUSD,2017-12-09T23:20:00.000Z,14809.5,14860.0,14750.0,14793.0,6220495,14799.4672
XBTUSD,2017-12-09T23:25:00.000Z,14793.0,14920.0,14725.0,14856.5,6593661,14812.6204
XBTUSD,2017-12-09T23:30:00.000Z,14856.5,14882.5,14810.0,14839.5,3737578,14852.2204
XBTUSD,2017-12-09T23:35:00.000Z,14839.5,14839.0,14686.0,14790.0,8567209,14751.4383
XBTUSD,2017-12-09T23:40:00.000Z,14790.0,14809.0,14723.5,14787.0,2539612,14768.8672
XBTUSD,2017-12-09T23:45:00.000Z,14787.0,14923.0,14787.0,14848.0,4925384,14865.4675
XBTUSD,2017-12-09T23:50:00.000Z,14848.0,14948.5,14848.0,14870.5,2865296,14903.1297
XBTUSD,2017-12-09T23:55:00.000Z,14870.5,15011.0,14860.5,14987.0,4615821,14932.0591
XBTUSD,2017-12-10T00:00:00.000Z,14987.0,15038.0,14949.0,14984.5,3671045,14994.7518
XBTUSD,2017-12-10T00:05:00.000Z,14984.5,14987.5,14749.0,14769.5,8029283,14874.3121
XBTUSD,2017-12-10T00:10:00.000Z,14769.5,14838.0,14720.0,14815.0,3976187,14790.7114
XBTUSD,2017-12-10T00:15:00.000Z,14815.0,14815.0,14588.0,14588.5,7153242,14673.5143
XBTUSD,2017-12-10T00:20:00.000Z,14588.5,14696.0,14488.0,14491.0,12056427,14609.2038
XBTUSD,2017-12-10T00:25:00.000Z,14491.0,14546.0,14335.5,14399.0,12757384,14459.225
XBTUSD,2017-12-10T00:30:00.000Z,14399.0,14538.5,14360.0,14538.5,8271395,14469.686
XBTUSD,2017-12-10T00:35:00.000Z,14538.5,14550.0,14436.5,14436.5,6689246,14490.6535
XBTUSD,2017-12-10T00:40:00.000Z,14436.5,14499.5,14370.0,14467.5,5965673,14444.6049
XBTUSD,2017-12-10T00:45:00.000Z,14467.5,14484.5,14374.0,14374.0,4454483,14440.4332
XBTUSD,2017-12-10T00:50:00.000Z,14374.0,14452.5,14308.0,14452.0,6216753,14392.631
XBTUSD,2017-12-10T00:55:00.000Z,14452.0,14543.0,14415.5,14454.0,4542462,14482.2592
XBTUSD,2017-12-10T01:00:00.000Z,14454.0,14590.0,14449.0,14449.0,6306688,14515.8949
XBTUSD,2017-12-10T01:05:00.000Z,14449.0,14466.0,14179.5,14192.5,10747808,14306.1516
XBTUSD,2017-12-10T01:10:00.000Z,14192.5,14298.0,14150.0,14240.5,7985453,14234.8754
XBTUSD,2017-12-10T01:15:00.000Z,14240.5,14392.0,14240.5,14308.0,6659324,14310.2461
XBTUSD,2017-12-10T01:20:00.000Z,14308.0,14308.5,13856.0,14060.5,21533095,14088.4756
XBTUSD,2017-12-10T01:25:00.000Z,14060.5,14153.5,13950.0,14023.0,9301179,14046.9167
XBTUSD,2017-12-10T01:30:00.000Z,14023.0,14270.0,14022.5,14197.5,14440130,14178.3638
XBTUSD,2017-12-10T01:35:00.000Z,14197.5,14198.0,14003.0,14123.0,7056674,14092.4464
XBTUSD,2017-12-10T01:40:00.000Z,14123.0,14136.5,13968.5,13980.0,4020455,14056.7894
XBTUSD,2017-12-10T01:45:00.000Z,13980.0,14140.0,13980.0,14070.0,8109216,14084.507
XBTUSD,2017-12-10T01:50:00.000Z,14070.0,14095.0,13946.0,13977.5,6758873,14019.3467
XBTUSD,2017-12-10T01:55:00.000Z,13977.5,13990.0,13809.0,13876.0,13485673,13904.3382
XBTUSD,2017-12-10T02:00:00.000Z,13876.0,14129.0,13677.5,14113.5,19882754,13861.9351
XBTUSD,2017-12-10T02:05:00.000Z,14113.5,14249.5,14040.0,14060.0,14552640,14138.2723
XBTUSD,2017-12-10T02:10:00.000Z,14060.0,14200.0,14050.0,14166.0,9194028,14152.2785
XBTUSD,2017-12-10T02:15:00.000Z,14166.0,14300.0,14160.0,14292.0,6129488,14212.6208
XBTUSD,2017-12-10T02:20:00.000Z,14292.0,14309.5,14130.0,14179.5,7671397,14208.582
XBTUSD,2017-12-10T02:25:00.000Z,14179.5,14179.5,14043.0,14101.5,7778324,14102.3833
XBTUSD,2017-12-10T02:30:00.000Z,14101.5,14175.0,14070.0,14088.0,4705152,14110.3429
XBTUSD,2017-12-10T02:35:00.000Z,14088.0,14240.0,14080.0,14149.5,4503534,14168.3196
XBTUSD,2017-12-10T02:40:00.000Z,14149.5,14227.5,14100.0,14100.0,3973562,14158.2897
XBTUSD,2017-12-10T02:45:00.000Z,14100.0,14096.5,13825.0,13840.0,12301413,13952.8394
XBTUSD,2017-12-10T02:50:00.000Z,13840.0,14000.0,13744.5,13749.0,9309197,13879.2505
XBTUSD,2017-12-10T02:55:00.000Z,13749.0,13850.0,13700.5,13778.0,10092027,13768.4153
XBTUSD,2017-12-10T03:00:00.000Z,13778.0,13840.0,13606.5,13618.5,7434021,13723.0685
XBTUSD,2017-12-10T03:05:00.000Z,13618.5,13731.0,13543.0,13595.0,11016250,13627.6915
XBTUSD,2017-12-10T03:10:00.000Z,13595.0,13815.0,13515.0,13700.5,15440749,13642.5648
XBTUSD,2017-12-10T03:15:00.000Z,13700.5,13757.0,13524.5,13550.0,12161855,13625.8346
XBTUSD,2017-12-10T03:20:00.000Z,13550.0,13733.5,13500.0,13720.5,15263867,13585.1107
XBTUSD,2017-12-10T03:25:00.000Z,13720.5,13850.0,13605.0,13846.5,12465570,13730.6055
XBTUSD,2017-12-10T03:30:00.000Z,13846.5,13898.5,13625.0,13690.0,11603634,13757.0505
XBTUSD,2017-12-10T03:35:00.000Z,13690.0,13691.5,13357.0,13485.5,13055016,13495.2767
XBTUSD,2017-12-10T03:40:00.000Z,13485.5,13614.5,13318.5,13408.5,12557557,13448.0904
XBTUSD,2017-12-10T03:45:00.000Z,13408.5,13505.0,13310.0,13360.5,22819520,13426.4232
XBTUSD,2017-12-10T03:50:00.000Z,13360.5,13380.0,13265.0,13350.0,11826265,13313.8064
XBTUSD,2017-12-10T03:55:00.000Z,13350.0,13530.5,13329.5,13422.0,16107278,13451.7084
XBTUSD,2017-12-10T04:00:00.000Z,13422.0,13422.0,13221.5,13336.0,13080091,13292.5695
XBTUSD,2017-12-10T04:05:00.000Z,13336.0,13484.5,13230.0,13230.0,13185783,13336.8898
XBTUSD,2017-12-10T04:10:00.000Z,13230.0,13792.5,13218.0,13676.0,24988809,13533.6311
XBTUSD,2017-12-10T04:15:00.000Z,13676.0,13899.5,13600.0,13643.0,16277725,13706.1404
XBTUSD,2017-12-10T04:20:00.000Z,13643.0,13764.5,13622.5,13654.5,6136583,13681.7622
XBTUSD,2017-12-10T04:25:00.000Z,13654.5,13654.5,13370.5,13451.0,7902691,13504.3889
XBTUSD,2017-12-10T04:30:00.000Z,13451.0,13550.0,13333.0,13390.0,8482428,13437.2481
XBTUSD,2017-12-10T04:35:00.000Z,13390.0,13770.0,13311.0,13565.5,11969186,13590.6496
XBTUSD,2017-12-10T04:40:00.000Z,13565.5,13661.0,13548.0,13591.0,7429290,13607.2935
XBTUSD,2017-12-10T04:45:00.000Z,13591.0,13839.0,13548.5,13839.0,10425439,13713.6588
XBTUSD,2017-12-10T04:50:00.000Z,13839.0,14000.0,13815.5,13994.5,14006484,13900.4726
XBTUSD,2017-12-10T04:55:00.000Z,13994.5,14195.0,13801.0,13909.0,24208643,13972.3348
XBTUSD,2017-12-10T05:00:00.000Z,13909.0,14100.0,13907.5,14059.0,9144579,14007.5641
XBTUSD,2017-12-10T05:05:00.000Z,14059.0,14060.0,13850.0,13850.0,8757178,13954.7865
XBTUSD,2017-12-10T05:10:00.000Z,13850.0,13923.5,13701.0,13721.0,12023123,13835.0858
XBTUSD,2017-12-10T05:15:00.000Z,13721.0,13921.5,13700.0,13840.5,9074356,13821.7001
XBTUSD,2017-12-10T05:20:00.000Z,13840.5,13881.0,13709.0,13723.0,4772120,13798.8133
XBTUSD,2017-12-10T05:25:00.000Z,13723.0,13780.0,13630.5,13669.5,8451453,13696.7539
XBTUSD,2017-12-10T05:30:00.000Z,13669.5,13850.0,13635.5,13840.0,6078548,13730.6055
XBTUSD,2017-12-10T05:35:00.000Z,13840.0,13840.0,13650.0,13699.5,5027708,13711.7784
XBTUSD,2017-12-10T05:40:00.000Z,13699.5,13699.5,13544.0,13571.0,8071423,13610.9977
XBTUSD,2017-12-10T05:45:00.000Z,13571.0,13651.5,13453.0,13650.0,9540462,13548.2997
XBTUSD,2017-12-10T05:50:00.000Z,13650.0,13702.0,13547.0,13634.5,8213063,13638.8434
XBTUSD,2017-12-10T05:55:00.000Z,13634.5,13670.0,13551.5,13644.0,5615342,13614.7039
XBTUSD,2017-12-10T06:00:00.000Z,13644.0,13793.0,13630.5,13744.5,7517662,13721.1855
XBTUSD,2017-12-10T06:05:00.000Z,13744.5,13910.0,13710.5,13858.5,7189323,13831.2586
XBTUSD,2017-12-10T06:10:00.000Z,13858.5,13945.0,13790.0,13790.0,6591719,13856.1729
XBTUSD,2017-12-10T06:15:00.000Z,13790.0,13845.0,13682.0,13692.5,7793867,13781.6979
XBTUSD,2017-12-10T06:20:00.000Z,13692.5,13735.0,13552.0,13568.0,8410631,13642.5648
XBTUSD,2017-12-10T06:25:00.000Z,13568.0,13747.0,13568.0,13745.0,5212556,13666.8033
XBTUSD,2017-12-10T06:30:00.000Z,13745.0,13824.5,13719.0,13726.5,5575217,13774.1047
XBTUSD,2017-12-10T06:35:00.000Z,13726.5,13800.0,13720.0,13746.0,2820647,13758.9433
XBTUSD,2017-12-10T06:40:00.000Z,13746.0,14119.0,13746.5,14050.0,13637966,13958.6823
XBTUSD,2017-12-10T06:45:00.000Z,14050.0,14051.5,13939.5,13967.0,7244199,13997.7604
XBTUSD,2017-12-10T06:50:00.000Z,13967.0,14100.0,13952.5,14037.0,6492569,14027.2128
XBTUSD,2017-12-10T06:55:00.000Z,14037.0,14293.0,14038.5,14293.0,9068784,14182.3855
XBTUSD,2017-12-10T07:00:00.000Z,14293.0,14293.0,14130.5,14185.0,9738193,14208.582
XBTUSD,2017-12-10T07:05:00.000Z,14185.0,14245.0,14150.0,14225.5,7873544,14202.528
XBTUSD,2017-12-10T07:10:00.000Z,14225.5,14244.5,14055.5,14118.5,8434941,14144.2716
XBTUSD,2017-12-10T07:15:00.000Z,14118.5,14141.5,14000.0,14006.5,5083112,14058.7656
XBTUSD,2017-12-10T07:20:00.000Z,14006.5,14058.0,13914.5,13952.0,6569494,13991.8847
XBTUSD,2017-12-10T07:25:00.000Z,13952.0,14068.0,13940.5,13972.5,6249117,14001.6802
XBTUSD,2017-12-10T07:30:00.000Z,13972.5,13973.5,13805.5,13859.5,8690515,13883.1043
XBTUSD,2017-12-10T07:35:00.000Z,13859.5,13913.0,13750.0,13873.0,11852087,13817.8803
XBTUSD,2017-12-10T07:40:00.000Z,13873.0,13942.0,13662.5,13744.5,11311334,13798.8133
XBTUSD,2017-12-10T07:45:00.000Z,13744.5,13865.0,13650.5,13814.5,10232423,13740.0385
XBTUSD,2017-12-10T07:50:00.000Z,13814.5,13900.0,13805.5,13846.0,3589482,13854.2533
XBTUSD,2017-12-10T07:55:00.000Z,13846.0,13886.0,13753.0,13845.0,3930737,13804.5279
XBTUSD,2017-12-10T08:00:00.000Z,13845.0,14057.5,13844.5,13972.5,9678091,13937.2822
XBTUSD,2017-12-10T08:05:00.000Z,13972.5,14015.5,13845.5,13886.0,6381478,13914.0114
XBTUSD,2017-12-10T08:10:00.000Z,13886.0,13886.5,13746.0,13770.5,5394198,13787.3983
XBTUSD,2017-12-10T08:15:00.000Z,13770.5,13770.5,13580.0,13582.0,10457679,13655.6056
XBTUSD,2017-12-10T08:20:00.000Z,13582.0,13648.5,13577.0,13619.5,5287290,13601.741
XBTUSD,2017-12-10T08:25:00.000Z,13619.5,13648.0,13352.0,13427.5,12763856,13471.6422
XBTUSD,2017-12-10T08:30:00.000Z,13427.5,13550.0,13427.0,13547.0,7580855,13506.2129
XBTUSD,2017-12-10T08:35:00.000Z,13547.0,13630.0,13512.0,13591.5,5623939,13574.0464
XBTUSD,2017-12-10T08:40:00.000Z,13591.5,13800.0,13598.0,13695.0,11909855,13713.6588
XBTUSD,2017-12-10T08:45:00.000Z,13695.0,13698.5,13506.0,13557.0,5876297,13605.4422
XBTUSD,2017-12-10T08:50:00.000Z,13557.0,13709.0,13461.0,13708.0,7761318,13598.0419
XBTUSD,2017-12-10T08:55:00.000Z,13708.0,13709.0,13592.5,13621.0,4697665,13635.1241
XBTUSD,2017-12-10T09:00:00.000Z,13621.0,13820.0,13624.0,13778.0,8911145,13745.7045
XBTUSD,2017-12-10T09:05:00.000Z,13778.0,13829.0,13720.0,13772.5,3572820,13779.7988
XBTUSD,2017-12-10T09:10:00.000Z,13772.5,13824.5,13693.0,13755.5,4780434,13743.8153
XBTUSD,2017-12-10T09:15:00.000Z,13755.5,13755.5,13611.0,13628.0,5165840,13651.8771
XBTUSD,2017-12-10T09:20:00.000Z,13628.0,13756.5,13625.0,13739.0,5629154,13687.3802
XBTUSD,2017-12-10T09:25:00.000Z,13739.0,13855.0,13741.0,13820.0,4539324,13823.6107
XBTUSD,2017-12-10T09:30:00.000Z,13820.0,13829.5,13670.0,13798.0,4631863,13745.7045
XBTUSD,2017-12-10T09:35:00.000Z,13798.0,13797.5,13666.5,13762.5,3390820,13708.0192
XBTUSD,2017-12-10T09:40:00.000Z,13762.5,13924.5,13750.0,13891.5,5021048,13838.915
XBTUSD,2017-12-10T09:45:00.000Z,13891.5,14023.0,13831.0,14015.0,9164513,13948.9469
XBTUSD,2017-12-10T09:50:00.000Z,14015.0,14060.5,13923.5,13927.0,10259171,13997.7604
XBTUSD,2017-12-10T09:55:00.000Z,13927.0,13977.0,13840.0,13898.5,7066477,13919.8218
XBTUSD,2017-12-10T10:00:00.000Z,13898.5,13961.0,13860.0,13960.0,4134654,13915.9477
XBTUSD,2017-12-10T10:05:00.000Z,13960.0,13960.0,13860.0,13928.5,2775741,13906.2717
XBTUSD,2017-12-10T10:10:00.000Z,13928.5,14099.0,13928.5,14058.5,7478381,14052.8387
XBTUSD,2017-12-10T10:15:00.000Z,14058.5,14245.0,14050.0,14244.5,6247734,14146.2725
XBTUSD,2017-12-10T10:20:00.000Z,14244.5,14289.5,14100.5,14125.5,13446913,14208.582
XBTUSD,2017-12-10T10:25:00.000Z,14125.5,14228.0,14118.5,14147.5,4092829,14180.3744
XBTUSD,2017-12-10T10:30:00.000Z,14147.5,14250.0,14116.5,14247.5,4599822,14180.3744
XBTUSD,2017-12-10T10:35:00.000Z,14247.5,14247.5,14150.5,14205.5,5049098,14190.4356
XBTUSD,2017-12-10T10:40:00.000Z,14205.5,14399.0,14205.0,14394.0,9462350,14314.343
XBTUSD,2017-12-10T10:45:00.000Z,14394.0,14444.0,14251.0,14287.0,12249609,14338.9733
XBTUSD,2017-12-10T10:50:00.000Z,14287.0,14327.5,14143.0,14145.0,6224668,14240.957
XBTUSD,2017-12-10T10:55:00.000Z,14145.0,14197.0,14052.0,14110.5,7891877,14132.2781
XBTUSD,2017-12-10T11:00:00.000Z,14110.5,14139.5,14050.0,14138.5,4821035,14102.3833
XBTUSD,2017-12-10T11:05:00.000Z,14138.5,14209.0,14119.5,14149.5,3297210,14166.3125
XBTUSD,2017-12-10T11:10:00.000Z,14149.5,14238.0,14140.0,14167.0,3974995,14186.4094
XBTUSD,2017-12-10T11:15:00.000Z,14167.0,14170.0,14065.0,14087.0,4002169,14122.2991
XBTUSD,2017-12-10T11:20:00.000Z,14087.0,14168.5,14060.0,14158.5,4908010,14108.3521
XBTUSD,2017-12-10T11:25:00.000Z,14158.5,14189.0,14115.5,14181.5,2645737,14152.2785
XBTUSD,2017-12-10T11:30:00.000Z,14181.5,14192.5,14139.0,14162.5,2600094,14180.3744
XBTUSD,2017-12-10T11:35:00.000Z,14162.5,14210.0,14044.0,14050.0,3696747,14132.2781
XBTUSD,2017-12-10T11:40:00.000Z,14050.0,14050.5,13888.0,13935.0,8020446,13970.3828
XBTUSD,2017-12-10T11:45:00.000Z,13935.0,13966.5,13850.0,13866.0,4278473,13904.3382
XBTUSD,2017-12-10T11:50:00.000Z,13866.0,13953.0,13828.5,13921.0,6637113,13883.1043
XBTUSD,2017-12-10T11:55:00.000Z,13921.0,14055.0,13900.0,14050.0,4230359,13986.014
XBTUSD,2017-12-10T12:00:00.000Z,14050.0,14050.5,13995.0,14033.5,2506184,14029.1807
XBTUSD,2017-12-10T12:05:00.000Z,14033.5,14100.5,13888.0,13960.5,12142830,14007.5641
XBTUSD,2017-12-10T12:10:00.000Z,13960.5,14047.5,13897.0,13953.5,5862552,13956.7341
XBTUSD,2017-12-10T12:15:00.000Z,13953.5,14000.0,13916.5,13953.0,1607191,13968.4313
XBTUSD,2017-12-10T12:20:00.000Z,13953.0,14000.0,13907.0,13943.0,2193322,13958.6823
XBTUSD,2017-12-10T12:25:00.000Z,13943.0,13967.5,13860.0,13891.0,3362103,13902.4051
XBTUSD,2017-12-10T12:30:00.000Z,13891.0,13982.5,13881.5,13959.0,3073788,13921.7597
XBTUSD,2017-12-10T12:35:00.000Z,13959.0,14024.5,13943.5,14014.0,3627641,13982.1029
XBTUSD,2017-12-10T12:40:00.000Z,14014.0,14162.5,14013.5,14079.5,6256457,14088.4756
XBTUSD,2017-12-10T12:45:00.000Z,14079.5,14105.0,14029.5,14099.0,2699790,14072.6147
XBTUSD,2017-12-10T12:50:00.000Z,14099.0,14224.0,14086.5,14224.0,6239957,14168.3196
XBTUSD,2017-12-10T12:55:00.000Z,14224.0,14234.0,14066.5,14167.5,4724319,14162.3
XBTUSD,2017-12-10T13:00:00.000Z,14167.5,14192.5,14112.0,14178.0,2817319,14158.2897
XBTUSD,2017-12-10T13:05:00.000Z,14178.0,14250.0,14151.0,14234.5,2327547,14204.5455
XBTUSD,2017-12-10T13:10:00.000Z,14234.5,14416.5,14230.5,14376.0,7187791,14355.4407
XBTUSD,2017-12-10T13:15:00.000Z,14376.0,14566.5,14376.0,14564.0,9204165,14475.9699
XBTUSD,2017-12-10T13:20:00.000Z,14564.0,14600.0,14480.0,14507.5,11853744,14564.5208
XBTUSD,2017-12-10T13:25:00.000Z,14507.5,14555.0,14437.5,14555.0,5724610,14494.8543
XBTUSD,2017-12-10T13:30:00.000Z,14555.0,14690.0,14554.5,14678.0,7675268,14626.2981
XBTUSD,2017-12-10T13:35:00.000Z,14678.0,14836.5,14654.0,14831.5,8612202,14742.7392
XBTUSD,2017-12-10T13:40:00.000Z,14831.5,15006.0,14776.0,14964.0,18360463,14887.5986
XBTUSD,2017-12-10T13:45:00.000Z,14964.0,15125.5,14842.5,14946.0,18117598,15015.015
XBTUSD,2017-12-10T13:50:00.000Z,14946.0,14963.5,14850.0,14950.0,14409075,14903.1297
XBTUSD,2017-12-10T13:55:00.000Z,14950.0,14949.5,14858.5,14858.5,5465757,14894.2508
XBTUSD,2017-12-10T14:00:00.000Z,14858.5,15169.5,14858.5,15160.0,8793829,15033.0728
XBTUSD,2017-12-10T14:05:00.000Z,15160.0,15350.0,15103.0,15294.0,15419436,15236.9343
XBTUSD,2017-12-10T14:10:00.000Z,15294.0,15330.0,15100.0,15117.0,15052309,15204.5005
XBTUSD,2017-12-10T14:15:00.000Z,15117.0,15299.0,15109.0,15287.0,8731885,15220.7002
XBTUSD,2017-12-10T14:20:00.000Z,15287.0,15562.0,15262.0,15559.5,17214875,15441.6306
XBTUSD,2017-12-10T14:25:00.000Z,15559.5,15622.0,15443.5,15559.0,17521113,15564.2023
XBTUSD,2017-12-10T14:30:00.000Z,15559.0,15800.0,15545.0,15569.0,15712317,15669.0693
XBTUSD,2017-12-10T14:35:00.000Z,15569.0,15770.0,15525.5,15682.5,13060571,15688.7355
XBTUSD,2017-12-10T14:40:00.000Z,15682.5,15690.0,15300.0,15451.5,23767123,15499.0701
XBTUSD,2017-12-10T14:45:00.000Z,15451.5,15573.0,15326.0,15453.0,11664706,15465.5119
XBTUSD,2017-12-10T14:50:00.000Z,15453.0,15453.0,15200.0,15390.5,15372975,15290.5199
XBTUSD,2017-12-10T14:55:00.000Z,15390.5,15459.0,15303.5,15347.0,8759585,15368.0652
XBTUSD,2017-12-10T15:00:00.000Z,15347.0,15486.0,15300.0,15300.0,7381998,15415.4463
XBTUSD,2017-12-10T15:05:00.000Z,15300.0,15369.0,15250.0,15307.5,7769897,15313.9357
XBTUSD,2017-12-10T15:10:00.000Z,15307.5,15302.0,15150.0,15185.0,13354918,15199.8784
XBTUSD,2017-12-10T15:15:00.000Z,15185.0,15297.5,15104.5,15246.5,12629587,15202.1891
XBTUSD,2017-12-10T15:20:00.000Z,15246.5,15519.5,15228.0,15464.0,12166550,15396.4588
XBTUSD,2017-12-10T15:25:00.000Z,15464.0,15522.0,15284.0,15410.0,9035880,15405.9467
XBTUSD,2017-12-10T15:30:00.000Z,15410.0,15594.5,15339.5,15594.5,6060994,15441.6306
